Quarter,Minute,Second,Down,ToGo,SeriesFirstDown,Yards,Formation,PlayType,PassType,RushDirection,YardLineFixed,YardLineDirection
4,0,46,1,10,1,26,SHOTGUN,PASS,DEEP MIDDLE,,46,OPP
4,1,16,4,9,0,0,FIELD GOAL,FIELD GOAL,,,23,OPP
4,2,0,3,13,0,4,SHOTGUN,RUSH,,LEFT END,27,OPP
4,2,15,2,9,0,-4,UNDER CENTER,RUSH,,RIGHT TACKLE,23,OPP
4,2,23,1,10,0,1,UNDER CENTER,RUSH,,LEFT GUARD,24,OPP
4,4,47,0,0,1,0,UNDER CENTER,TWO-POINT CONVERSION,,,2,OPP
4,4,52,3,1,1,3,NO HUDDLE,RUSH,,LEFT GUARD,3,OPP
4,5,10,2,10,0,9,SHOTGUN,PASS,SHORT MIDDLE,,12,OPP
3,6,3,3,18,0,0,SHOTGUN,PASS,SHORT RIGHT,,18,OPP
3,6,43,2,9,0,-9,SHOTGUN,SACK,,,9,OPP
3,7,22,1,7,0,-2,UNDER CENTER,RUSH,,LEFT END,7,OPP
3,7,40,1,10,1,25,SHOTGUN,PASS,DEEP RIGHT,,32,OPP
2,0,36,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,0,38,1,1,1,1,UNDER CENTER,RUSH,,CENTER,1,OPP
2,0,43,2,5,1,12,SHOTGUN,PASS,SHORT MIDDLE,,12,OPP
2,0,51,1,10,0,5,SHOTGUN,PASS,SHORT RIGHT,,17,OPP
2,1,27,2,6,1,7,UNDER CENTER,PASS,SHORT RIGHT,,24,OPP
2,1,31,1,10,0,4,SHOTGUN,PASS,SHORT LEFT,,28,OPP
2,4,38,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,4,54,2,12,0,-9,SHOTGUN,SACK,,,48,OPP
2,5,29,1,10,0,-2,SHOTGUN,PASS,SHORT LEFT,,46,OPP
2,6,5,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,9,33,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,0,31,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,2,14,3,2,0,0,SHOTGUN,PASS,SHORT MIDDLE,,2,OPP
3,3,1,2,2,0,0,SHOTGUN,RUSH,,CENTER,2,OPP
3,3,38,1,7,0,5,UNDER CENTER,RUSH,,LEFT GUARD,7,OPP
3,4,30,4,3,0,0,PUNT,PUNT,,,49,OPP
3,5,4,3,3,0,0,SHOTGUN,RUSH,,CENTER,49,OPP
3,8,14,4,7,0,0,PUNT,PUNT,,,50,OPP
3,8,20,3,7,0,0,SHOTGUN,PASS,SHORT RIGHT,,50,OPP
5,5,31,4,4,0,0,FIELD GOAL,FIELD GOAL,,,28,OPP
5,6,12,3,5,0,1,SHOTGUN,RUSH,,LEFT END,29,OPP
5,6,54,2,7,0,2,SHOTGUN,RUSH,,RIGHT GUARD,31,OPP
5,7,27,1,10,0,3,SHOTGUN,RUSH,,LEFT END,34,OPP
3,8,28,1,10,0,0,SHOTGUN,PASS,DEEP MIDDLE,,43,OPP
3,9,10,4,1,0,0,UNDER CENTER,FUMBLES,,,44,OPP
3,9,27,4,6,0,0,SHOTGUN,NO PLAY,,,49,OPP
3,10,50,3,3,0,17,SHOTGUN,PASS,SHORT MIDDLE,,46,OPP
3,11,31,2,6,0,3,SHOTGUN,RUSH,,CENTER,49,OPP
2,0,3,2,10,0,0,FIELD GOAL,FIELD GOAL,,,11,OPP
2,0,7,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,11,OPP
2,0,12,2,6,0,0,NO HUDDLE SHOTGUN,PASS,DEEP RIGHT,,21,OPP
2,0,33,1,10,0,4,SHOTGUN,PASS,SHORT RIGHT,,25,OPP
2,3,19,3,13,0,-6,SHOTGUN,SACK,,,45,OPP
2,3,57,2,7,0,-6,SHOTGUN,SACK,,,39,OPP
2,4,33,1,10,0,3,SHOTGUN,RUSH,,LEFT TACKLE,42,OPP
2,4,43,4,17,0,0,FIELD GOAL,FIELD GOAL,,,23,OPP
2,5,21,3,6,0,-11,SHOTGUN,SACK,,,12,OPP
2,6,20,1,5,0,4,SHOTGUN,RUSH,,CENTER,11,OPP
2,6,42,1,10,0,-7,SHOTGUN,SACK,,,16,OPP
2,11,21,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,11,26,2,10,1,11,SHOTGUN,PASS,SHORT RIGHT,,11,OPP
2,11,32,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,11,OPP
2,12,21,3,9,1,24,SHOTGUN,PASS,SHORT MIDDLE,,35,OPP
3,11,3,4,7,0,0,PUNT,PUNT,,,46,OPP
3,11,13,4,2,0,0,UNDER CENTER,NO PLAY,,,41,OPP
3,11,19,3,6,0,4,SHOTGUN,PASS,SHORT RIGHT,,45,OPP
3,12,4,2,10,0,4,UNDER CENTER,PASS,SHORT LEFT,,49,OPP
3,12,36,1,10,0,0,SHOTGUN,RUSH,,RIGHT END,49,OPP
2,0,7,4,1,0,0,SHOTGUN,PASS,SHORT MIDDLE,,1,OPP
2,0,11,3,3,0,2,SHOTGUN,PASS,SHORT RIGHT,,3,OPP
2,0,15,2,10,0,7,SHOTGUN,PASS,SHORT RIGHT,,10,OPP
2,0,20,1,10,0,0,SHOTGUN,PASS,SHORT LEFT,,10,OPP
2,0,27,3,6,1,11,SHOTGUN,PASS,SHORT RIGHT,,21,OPP
2,1,4,2,11,0,5,SHOTGUN,PASS,SHORT MIDDLE,,26,OPP
2,1,50,1,10,0,-1,SHOTGUN,PASS,SHORT LEFT,,25,OPP
2,1,55,3,7,0,0,SHOTGUN,PASS,SHORT LEFT,,30,OPP
2,2,0,2,7,0,0,SHOTGUN,PASS,SHORT MIDDLE,,30,OPP
2,2,18,1,10,0,3,UNDER CENTER,RUSH,,LEFT TACKLE,33,OPP
2,2,24,2,8,0,0,SHOTGUN,PASS,SHORT RIGHT,,38,OPP
2,3,6,1,10,0,2,SHOTGUN,PASS,SHORT LEFT,,40,OPP
2,5,22,4,5,0,0,FIELD GOAL,FIELD GOAL,,,22,OPP
2,6,2,3,5,0,0,SHOTGUN,PASS,SHORT RIGHT,,22,OPP
2,6,10,2,5,0,0,UNDER CENTER,PASS,DEEP RIGHT,,22,OPP
2,6,33,1,10,0,5,UNDER CENTER,RUSH,,CENTER,27,OPP
2,6,45,2,1,1,9,UNDER CENTER,PASS,SHORT RIGHT,,36,OPP
2,7,21,1,10,0,9,UNDER CENTER,RUSH,,RIGHT GUARD,45,OPP
2,8,49,4,19,0,0,FIELD GOAL,FIELD GOAL,,,30,OPP
2,8,53,3,5,0,0,SHOTGUN,PASS,SHORT RIGHT,,16,OPP
2,9,31,2,8,0,3,SHOTGUN,PASS,SHORT LEFT,,19,OPP
2,10,9,1,10,0,2,UNDER CENTER,RUSH,,LEFT END,21,OPP
2,10,44,3,5,1,7,SHOTGUN,PASS,SHORT RIGHT,,28,OPP
2,11,29,2,2,0,-3,UNDER CENTER,RUSH,,CENTER,25,OPP
2,12,14,1,10,0,8,UNDER CENTER,PASS,SHORT LEFT,,33,OPP
2,12,56,3,2,1,4,SHOTGUN,PASS,SHORT LEFT,,37,OPP
2,13,37,2,2,0,0,SHOTGUN,RUSH,,CENTER,37,OPP
2,14,10,1,10,0,8,SHOTGUN,PASS,SHORT LEFT,,45,OPP
2,15,0,3,11,0,-8,SHOTGUN,SACK,,,21,OPP
1,0,15,2,17,0,6,SHOTGUN,PASS,SHORT MIDDLE,,27,OPP
1,0,40,2,7,0,3,SHOTGUN,RUSH,,LEFT GUARD,17,OPP
1,1,15,1,10,0,3,UNDER CENTER,RUSH,,CENTER,20,OPP
1,1,43,3,1,1,13,SHOTGUN,PASS,SHORT RIGHT,,33,OPP
1,1,47,2,1,0,0,UNDER CENTER,PASS,SHORT LEFT,,33,OPP
1,2,20,1,10,0,9,UNDER CENTER,RUSH,,LEFT END,42,OPP
1,4,58,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,11,6,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,11,11,2,4,1,4,UNDER CENTER,RUSH,,CENTER,4,OPP
1,11,44,1,5,0,1,UNDER CENTER,RUSH,,CENTER,5,OPP
1,12,31,2,4,1,5,UNDER CENTER,RUSH,,CENTER,10,OPP
1,13,10,1,10,0,6,SHOTGUN,PASS,SHORT LEFT,,16,OPP
1,13,44,1,10,1,12,SHOTGUN,RUSH,,LEFT END,28,OPP
1,14,27,1,10,1,21,UNDER CENTER,RUSH,,LEFT GUARD,49,OPP
4,0,29,2,8,1,8,SHOTGUN,RUSH,,CENTER,45,OPP
4,1,15,1,10,0,2,SHOTGUN,RUSH,,LEFT END,47,OPP
4,9,14,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,9,19,3,4,1,10,UNDER CENTER,PASS,SHORT MIDDLE,,10,OPP
4,10,1,2,3,0,-1,UNDER CENTER,RUSH,,LEFT TACKLE,9,OPP
4,10,37,1,10,0,7,UNDER CENTER,RUSH,,RIGHT END,16,OPP
4,11,2,3,4,1,12,UNDER CENTER,RUSH,,LEFT GUARD,28,OPP
4,11,38,2,10,0,6,UNDER CENTER,PASS,SHORT LEFT,,34,OPP
4,11,42,1,10,0,0,NO HUDDLE,PASS,SHORT LEFT,,34,OPP
4,12,9,2,3,1,4,NO HUDDLE SHOTGUN,RUSH,,LEFT END,38,OPP
4,12,31,1,10,0,7,SHOTGUN,PASS,SHORT RIGHT,,45,OPP
1,12,57,2,10,0,1,UNDER CENTER,RUSH,,RIGHT TACKLE,41,OPP
1,13,2,1,10,0,0,UNDER CENTER,PASS,SHORT RIGHT,,41,OPP
1,13,17,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,0,39,2,11,0,0,UNDER CENTER,QB KNEEL,,,48,OPP
4,1,15,1,10,0,0,UNDER CENTER,QB KNEEL,,,47,OPP
4,1,19,4,18,0,0,FIELD GOAL,FIELD GOAL,,,18,OPP
4,1,33,3,8,0,-10,SHOTGUN,SACK,,,8,OPP
4,1,36,2,8,0,0,SHOTGUN,PASS,SHORT MIDDLE,,8,OPP
4,1,39,1,8,0,0,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,8,OPP
4,2,0,1,10,1,24,SHOTGUN,PASS,SHORT LEFT,,32,OPP
4,2,30,4,1,0,0,FIELD GOAL,FIELD GOAL,,,12,OPP
4,3,15,3,1,0,0,UNDER CENTER,RUSH,,RIGHT END,12,OPP
4,4,3,2,4,0,3,UNDER CENTER,RUSH,,CENTER,15,OPP
4,4,10,1,10,0,6,UNDER CENTER,RUSH,,RIGHT GUARD,21,OPP
4,4,17,3,2,1,4,UNDER CENTER,RUSH,,CENTER,25,OPP
4,7,49,3,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,13,OPP
4,8,32,2,2,0,-8,UNDER CENTER,RUSH,,LEFT END,5,OPP
4,9,16,1,10,0,8,UNDER CENTER,RUSH,,CENTER,13,OPP
4,12,55,3,6,0,0,SHOTGUN,NO PLAY,,,6,OPP
4,13,32,2,5,0,0,UNDER CENTER,,,,5,OPP
4,14,11,1,15,0,10,SHOTGUN,PASS,SHORT MIDDLE,,15,OPP
4,14,16,1,8,0,8,SHOTGUN,RUSH,,CENTER,8,OPP
4,15,0,3,9,1,12,SHOTGUN,PASS,SHORT RIGHT,,20,OPP
3,0,17,3,4,0,0,SHOTGUN,NO PLAY,,,15,OPP
3,0,56,2,4,0,0,SHOTGUN,RUSH,,LEFT TACKLE,15,OPP
3,7,2,0,0,1,0,UNDER CENTER,EXTRA POINT,,,20,OPP
3,7,2,0,0,0,0,UNDER CENTER,KICK OFF,,,15,OPP
3,7,5,3,1,1,1,UNDER CENTER,RUSH,,CENTER,1,OPP
3,7,20,3,1,0,0,UNDER CENTER,RUSH,,LEFT GUARD,1,OPP
3,7,35,2,5,1,5,UNDER CENTER,RUSH,,RIGHT END,5,OPP
3,7,50,2,10,0,0,UNDER CENTER,NO PLAY,,,10,OPP
2,11,5,4,5,0,0,PUNT,PUNT,,,50,OPP
2,2,29,1,10,0,4,UNDER CENTER,RUSH,,RIGHT END,28,OPP
2,2,59,3,8,1,11,SHOTGUN,PASS,SHORT RIGHT,,39,OPP
2,3,41,2,11,0,0,UNDER CENTER,RUSH,,LEFT TACKLE,42,OPP
2,4,4,2,6,0,0,UNDER CENTER,NO PLAY,,,37,OPP
2,4,38,1,10,0,4,NO HUDDLE,RUSH,,LEFT TACKLE,41,OPP
2,7,56,4,12,0,0,FIELD GOAL,FIELD GOAL,,,30,OPP
2,8,1,3,12,0,0,SHOTGUN,PASS,DEEP LEFT,,30,OPP
2,8,43,2,12,0,0,UNDER CENTER,PASS,SHORT RIGHT,,30,OPP
2,9,17,1,20,0,8,UNDER CENTER,PASS,SHORT LEFT,,38,OPP
2,9,41,1,10,0,14,UNDER CENTER,PASS,SHORT MIDDLE,,28,OPP
2,12,8,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,12,16,2,8,1,35,SHOTGUN,PASS,DEEP LEFT,,35,OPP
2,12,53,1,10,0,2,SHOTGUN,PASS,SHORT RIGHT,,37,OPP
2,13,35,3,5,1,8,SHOTGUN,SCRAMBLE,,,45,OPP
2,14,18,2,5,0,0,UNDER CENTER,RUSH,,LEFT END,45,OPP
2,14,46,1,10,0,5,UNDER CENTER,RUSH,,RIGHT TACKLE,50,OPP
2,14,55,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,15,0,3,4,1,15,SHOTGUN,PASS,SHORT LEFT,,15,OPP
1,0,26,2,9,0,5,UNDER CENTER,RUSH,,RIGHT END,20,OPP
1,1,5,1,15,0,6,UNDER CENTER,PASS,SHORT MIDDLE,,26,OPP
1,1,27,1,10,0,0,UNDER CENTER,NO PLAY,,,21,OPP
1,1,57,1,10,1,19,UNDER CENTER,RUSH,,LEFT TACKLE,40,OPP
1,5,54,4,8,0,0,PUNT,PUNT,,,39,OPP
1,6,3,3,8,0,0,SHOTGUN,PASS,SHORT LEFT,,39,OPP
1,6,8,2,8,0,0,SHOTGUN,PASS,DEEP LEFT,,39,OPP
1,6,45,1,10,0,2,UNDER CENTER,RUSH,,RIGHT GUARD,41,OPP
1,8,50,4,10,0,0,FIELD GOAL,FIELD GOAL,,,13,OPP
1,9,30,3,20,0,10,SHOTGUN,RUSH,,LEFT TACKLE,23,OPP
1,10,15,2,11,0,-9,UNDER CENTER,SACK,,,14,OPP
1,10,50,1,10,0,-1,UNDER CENTER,RUSH,,RIGHT TACKLE,13,OPP
1,11,40,2,8,1,22,UNDER CENTER,PASS,SHORT LEFT,,35,OPP
1,12,9,1,10,0,2,UNDER CENTER,RUSH,,LEFT END,37,OPP
1,12,43,3,5,1,13,SHOTGUN,PASS,SHORT RIGHT,,50,OPP
4,0,13,1,10,0,0,UNDER CENTER,QB KNEEL,,,49,OPP
4,0,13,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,0,19,1,10,1,26,SHOTGUN,PASS,DEEP RIGHT,,26,OPP
4,0,29,2,10,0,16,SHOTGUN,PASS,SHORT MIDDLE,,42,OPP
4,0,33,1,10,0,0,SHOTGUN,PASS,DEEP RIGHT,,42,OPP
4,0,39,1,10,0,8,SHOTGUN,PASS,SHORT LEFT,,47,OPP
4,1,16,4,3,0,0,SHOTGUN,PASS,SHORT RIGHT,,22,OPP
3,8,29,1,8,0,-2,NO HUDDLE,RUSH,,LEFT TACKLE,8,OPP
3,9,13,1,10,1,17,SHOTGUN,RUSH,,LEFT END,25,OPP
3,9,46,3,6,1,9,SHOTGUN,PASS,SHORT LEFT,,34,OPP
3,10,30,1,10,0,4,SHOTGUN,RUSH,,RIGHT TACKLE,38,OPP
2,0,49,4,15,0,0,FIELD GOAL,FIELD GOAL,,,18,OPP
2,0,54,3,15,0,0,SHOTGUN,PASS,SHORT RIGHT,,18,OPP
2,1,1,2,15,0,0,SHOTGUN,PASS,SHORT RIGHT,,18,OPP
2,1,8,1,10,0,-5,SHOTGUN,SACK,,,13,OPP
2,1,20,1,10,0,23,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,50,OPP
2,2,36,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,2,41,1,8,1,8,UNDER CENTER,PASS,SHORT LEFT,,8,OPP
2,3,9,1,10,1,21,SHOTGUN,PASS,DEEP LEFT,,29,OPP
4,4,2,2,4,0,3,UNDER CENTER,RUSH,,CENTER,41,OPP
4,4,47,1,10,0,6,UNDER CENTER,RUSH,,CENTER,47,OPP
3,11,50,4,9,0,0,PUNT,PUNT,,,47,OPP
3,11,56,3,9,0,0,SHOTGUN,PASS,SHORT MIDDLE,,47,OPP
3,12,14,3,4,0,0,SHOTGUN,NO PLAY,,,42,OPP
3,12,46,2,8,0,4,SHOTGUN,RUSH,,RIGHT TACKLE,46,OPP
3,13,25,1,10,0,2,SHOTGUN,RUSH,,RIGHT GUARD,48,OPP
2,0,39,4,4,0,0,FIELD GOAL,FIELD GOAL,,,4,OPP
2,0,42,3,4,0,0,SHOTGUN,PASS,SHORT MIDDLE,,4,OPP
4,13,54,1,10,1,21,SHOTGUN,PASS,SHORT LEFT,,40,OPP
4,14,55,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,15,0,2,12,1,13,SHOTGUN,PASS,SHORT RIGHT,,13,OPP
3,0,28,1,10,0,-2,UNDER CENTER,RUSH,,LEFT GUARD,11,OPP
3,0,54,3,4,1,16,SHOTGUN,PASS,DEEP LEFT,,27,OPP
3,1,28,2,10,0,6,SHOTGUN,PASS,SHORT RIGHT,,33,OPP
3,2,9,1,10,0,0,SHOTGUN,RUSH,,LEFT GUARD,33,OPP
3,2,49,1,10,1,13,UNDER CENTER,PASS,SHORT MIDDLE,,46,OPP
3,5,32,4,6,0,0,FIELD GOAL,FIELD GOAL,,,36,OPP
3,5,36,3,6,0,0,SHOTGUN,PASS,DEEP MIDDLE,,36,OPP
3,6,21,2,10,0,4,SHOTGUN,RUSH,,RIGHT GUARD,40,OPP
3,6,27,1,10,0,0,SHOTGUN,PASS,DEEP RIGHT,,40,OPP
3,7,5,2,3,1,9,SHOTGUN,PASS,SHORT RIGHT,,49,OPP
3,8,5,0,0,1,0,UNDER CENTER,EXTRA POINT,,,20,OPP
3,8,5,0,0,0,0,UNDER CENTER,KICK OFF,,,15,OPP
3,8,10,1,8,1,8,UNDER CENTER,RUSH,,RIGHT END,8,OPP
3,8,25,4,1,0,0,FIELD GOAL,FIELD GOAL,,,28,OPP
3,9,14,3,7,0,6,SHOTGUN,PASS,SHORT RIGHT,,34,OPP
3,9,19,2,7,0,0,SHOTGUN,PASS,DEEP LEFT,,34,OPP
3,9,56,1,10,0,3,UNDER CENTER,RUSH,,RIGHT GUARD,37,OPP
2,0,1,0,0,1,0,FIELD GOAL,FIELD GOAL,,,50,OPP
2,1,16,2,19,0,-7,SHOTGUN,SACK,,,21,OPP
2,2,0,1,10,0,-6,UNDER CENTER,SACK,,,12,OPP
2,2,21,1,10,1,10,SHOTGUN,PASS,SHORT RIGHT,,22,OPP
2,3,2,3,1,1,5,UNDER CENTER,RUSH,,LEFT GUARD,27,OPP
2,3,45,2,6,0,5,SHOTGUN,PASS,SHORT LEFT,,32,OPP
2,4,23,1,10,0,4,UNDER CENTER,RUSH,,RIGHT GUARD,36,OPP
2,5,1,1,10,1,13,SHOTGUN,PASS,SHORT LEFT,,49,OPP
2,7,32,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,7,41,1,10,1,25,SHOTGUN,PASS,SHORT LEFT,,25,OPP
2,8,24,3,6,1,7,SHOTGUN,PASS,SHORT MIDDLE,,32,OPP
2,8,31,2,6,0,0,SHOTGUN,PASS,SHORT LEFT,,32,OPP
2,9,11,1,10,0,4,SHOTGUN,RUSH,,RIGHT GUARD,36,OPP
2,12,43,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,12,47,1,5,1,5,UNDER CENTER,RUSH,,RIGHT GUARD,5,OPP
2,13,26,2,8,1,30,UNDER CENTER,PASS,SHORT RIGHT,,35,OPP
2,14,2,1,10,0,2,UNDER CENTER,RUSH,,RIGHT GUARD,37,OPP
1,1,5,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
1,1,11,4,1,1,1,UNDER CENTER,RUSH,,RIGHT GUARD,1,OPP
1,1,56,3,1,0,0,UNDER CENTER,RUSH,,CENTER,1,OPP
1,2,36,2,4,0,3,SHOTGUN,RUSH,,RIGHT GUARD,4,OPP
4,0,33,2,11,0,0,UNDER CENTER,QB KNEEL,,,20,OPP
4,1,14,1,10,0,0,UNDER CENTER,QB KNEEL,,,19,OPP
4,2,0,4,3,1,8,SHOTGUN,PASS,SHORT RIGHT,,27,OPP
4,2,34,3,1,0,-2,SHOTGUN,RUSH,,CENTER,25,OPP
3,6,12,2,6,0,0,SHOTGUN,PASS,SHORT LEFT,,6,OPP
3,6,46,1,3,0,-3,UNDER CENTER,RUSH,,LEFT GUARD,3,OPP
3,6,50,1,8,0,0,SHOTGUN,PASS,SHORT LEFT,,8,OPP
3,7,21,1,10,1,11,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,19,OPP
3,7,51,1,10,1,25,NO HUDDLE SHOTGUN,RUSH,,RIGHT GUARD,44,OPP
3,2,52,4,8,0,0,FIELD GOAL,FIELD GOAL,,,22,OPP
3,3,32,3,5,0,-3,SHOTGUN,PASS,SHORT MIDDLE,,19,OPP
3,4,12,2,10,0,5,SHOTGUN,PASS,SHORT MIDDLE,,24,OPP
3,4,15,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,24,OPP
3,4,20,4,7,0,0,SHOTGUN,PASS,SHORT LEFT,,29,OPP
3,4,23,3,7,0,0,SHOTGUN,PASS,SHORT RIGHT,,29,OPP
3,5,2,2,9,0,2,SHOTGUN,PASS,SHORT RIGHT,,31,OPP
3,5,44,1,10,0,1,SHOTGUN,PASS,SHORT LEFT,,32,OPP
3,6,22,1,10,1,12,UNDER CENTER,PASS,SHORT RIGHT,,44,OPP
3,7,37,2,4,0,8,SHOTGUN,RUSH,,LEFT END,50,OPP
3,12,18,1,10,0,0,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,30,OPP
3,12,57,3,3,1,13,NO HUDDLE SHOTGUN,PASS,SHORT RIGHT,,43,OPP
3,13,28,2,8,0,5,NO HUDDLE SHOTGUN,PASS,SHORT MIDDLE,,48,OPP
3,13,56,1,10,0,2,NO HUDDLE SHOTGUN,RUSH,,LEFT GUARD,50,OPP
2,7,11,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
2,7,17,3,1,1,1,UNDER CENTER,RUSH,,LEFT GUARD,1,OPP
2,7,59,2,1,0,0,UNDER CENTER,RUSH,,CENTER,1,OPP
2,8,38,1,2,0,1,UNDER CENTER,RUSH,,CENTER,2,OPP
2,9,19,2,15,1,23,SHOTGUN,PASS,DEEP LEFT,,25,OPP
2,9,19,2,10,0,0,SHOTGUN,NO PLAY,,,20,OPP
2,9,26,1,10,0,0,SHOTGUN,PASS,DEEP RIGHT,,20,OPP
2,14,6,4,5,0,0,PUNT,PUNT,,,48,OPP
2,14,11,3,5,0,0,SHOTGUN,PASS,DEEP RIGHT,,48,OPP
1,5,29,4,5,0,0,PUNT,PUNT,,,45,OPP
1,5,32,3,5,0,0,SHOTGUN,PASS,SHORT LEFT,,45,OPP
1,6,13,2,9,0,4,UNDER CENTER,RUSH,,CENTER,49,OPP
1,6,47,1,10,0,1,UNDER CENTER,RUSH,,CENTER,50,OPP
1,7,7,1,10,0,62,UNDER CENTER,PASS,DEEP MIDDLE,,43,OPP
1,11,27,4,1,0,0,UNDER CENTER,RUSH,,RIGHT END,19,OPP
1,12,5,3,1,0,0,UNDER CENTER,RUSH,,CENTER,19,OPP
1,12,37,2,3,0,2,UNDER CENTER,RUSH,,CENTER,21,OPP
1,13,13,1,10,0,7,UNDER CENTER,PASS,SHORT RIGHT,,28,OPP
1,13,51,1,10,1,21,UNDER CENTER,RUSH,,CENTER,49,OPP
4,5,13,4,7,0,0,FIELD GOAL,FIELD GOAL,,,26,OPP
4,5,16,3,7,0,0,SHOTGUN,PASS,SHORT RIGHT,,26,OPP
4,5,52,2,11,0,4,UNDER CENTER,RUSH,,RIGHT END,30,OPP
4,6,17,2,1,0,2,UNDER CENTER,RUSH,,LEFT GUARD,20,OPP
4,7,2,1,15,0,14,UNDER CENTER,RUSH,,RIGHT END,34,OPP
4,7,2,1,10,0,0,UNDER CENTER,NO PLAY,,,29,OPP
4,2,26,1,10,0,3,NO HUDDLE SHOTGUN,RUSH,,RIGHT GUARD,15,OPP
4,2,32,3,7,1,8,SHOTGUN,PASS,SHORT LEFT,,23,OPP
4,2,36,2,7,0,0,SHOTGUN,RUSH,,LEFT END,23,OPP
4,2,41,1,10,0,3,SHOTGUN,RUSH,,RIGHT GUARD,26,OPP
4,3,30,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
4,3,33,1,1,1,1,SHOTGUN,RUSH,,RIGHT GUARD,1,OPP
4,3,57,1,10,1,16,UNDER CENTER,PASS,SHORT RIGHT,,16,OPP
4,4,43,3,5,1,5,SHOTGUN,PASS,SHORT LEFT,,21,OPP
4,5,27,2,13,0,8,SHOTGUN,SCRAMBLE,,,29,OPP
4,6,0,1,15,0,2,SHOTGUN,RUSH,,RIGHT GUARD,31,OPP
4,6,33,1,10,0,14,SHOTGUN,PASS,SHORT RIGHT,,26,OPP
4,7,2,2,8,1,14,UNDER CENTER,RUSH,,RIGHT TACKLE,40,OPP
4,7,42,1,10,0,2,SHOTGUN,RUSH,,LEFT GUARD,42,OPP
4,7,50,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,47,OPP
4,9,2,0,0,0,0,UNDER CENTER,TWO-POINT CONVERSION,,,2,OPP
4,9,6,1,3,1,3,UNDER CENTER,RUSH,,LEFT GUARD,3,OPP
4,9,48,1,10,1,21,SHOTGUN,RUSH,,LEFT TACKLE,24,OPP
4,10,43,4,1,0,-1,UNDER CENTER,RUSH,,RIGHT GUARD,1,OPP
4,10,44,4,1,0,0,SHOTGUN,PASS,SHORT RIGHT,,1,OPP
4,10,52,3,1,0,0,UNDER CENTER,PASS,SHORT LEFT,,1,OPP
4,11,41,2,7,0,6,SHOTGUN,PASS,SHORT LEFT,,7,OPP
2,0,39,3,2,1,5,SHOTGUN,PASS,SHORT LEFT,,32,OPP
2,0,44,2,10,0,8,SHOTGUN,PASS,SHORT LEFT,,40,OPP
2,0,50,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,40,OPP
2,0,56,2,1,1,3,SHOTGUN,PASS,SHORT LEFT,,43,OPP
4,12,20,1,7,0,0,UNDER CENTER,RUSH,,RIGHT END,7,OPP
4,12,34,3,2,0,0,UNDER CENTER,NO PLAY,,,12,OPP
4,13,21,2,3,0,1,UNDER CENTER,PASS,SHORT RIGHT,,13,OPP
4,14,0,1,10,0,7,SHOTGUN,RUSH,,LEFT TACKLE,20,OPP
4,14,24,4,3,1,3,SHOTGUN,PASS,SHORT LEFT,,23,OPP
4,15,0,3,2,0,-1,UNDER CENTER,RUSH,,RIGHT GUARD,22,OPP
3,0,24,2,2,0,0,UNDER CENTER,RUSH,,LEFT GUARD,22,OPP
3,0,58,1,10,0,8,UNDER CENTER,RUSH,,LEFT END,30,OPP
3,1,1,1,10,0,0,SHOTGUN,PASS,SHORT RIGHT,,45,OPP
3,6,0,0,0,1,0,UNDER CENTER,EXTRA POINT,,,15,OPP
3,6,7,3,6,1,6,SHOTGUN,PASS,SHORT MIDDLE,,6,OPP
